,AbiD,AbiH,AbiJ,AbiL,AbiU,AbiZ,Avs_II,Avs_III,Avs_IV,Avs_V,BREX_I,CBASS_I,CBASS_II,CRISPR-Cas IF,CapRel,DRT_2,DRT_3,DRT_8,DRT_9,DarTG,Dazbog,Detocs,Dnd_ABCDE,Dnd_ABCDEFGH,Druantia_III,Dsr_II,Eleos,FS_GIY_YIG,GAPS4,Gabija,Gao_Her_DUF,Gao_Iet,Gao_Mza,Gao_Ppl,Gao_Qat,Gao_RL,Hachiman,Hna,Kiwa,Lamassu-Cap4_nuclease,Lamassu-Hydrolase_Protease,Lamassu-Mrr,Menshen,Mokosh_Type_I_C,NLR_like_bNACHT01,Old_exonuclease,Olokun,PARIS_I,PARIS_II,PARIS_II_merge,PD-Lambda-1,PD-Lambda-2,PD-Lambda-5,PD-T4-5,PD-T7-2,PD-T7-3,PD-T7-5,PrrC,PsyrTA,Pycsar,RM_I,RM_II,RM_IIG,RM_III,RM_IV,Retron_II,Retron_III,Retron_IV,Retron_I_A,Retron_I_C,Retron_VI,Retron_XI,Retron_XII,RloC,RosmerTA,Rst_3HP,Rst_HelicaseDUF2290,SEFIR,Septu,Shedu,ShosTA,SoFic,SspBCDE,Thoeris_I,Thoeris_II,Zorya_TypeI,dCTP deaminase,dGTPase,pAgo_LongB
PD-Lambda-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.287290641,1,1,0.289675096,1,1,1,0.508957656,1,1,1,1,1,1,1,1,0.00682037,0.043404722,1,1,1,1,1,1,0.027042794,1,1,1,1,0.349947782,1,1,1,1,1,1
PD-Lambda-2,0.065985207,0.465004705,1,0.182074969,0.124257999,1,1,1,1,1,0.053592748,0.421599477,0.020661144,0.339342689,1,0.628022463,0.005576636,1,1,0.024354074,1,0.010779937,0.345355511,1,0.161603716,1,1,1,1,7.47E-07,0.374625495,0.27166686,1,0.523698485,0.000519338,0.076332125,1,1,1,0.141175814,1,1,1,0.273066159,0.023543373,1,1,0.72938501,1,0.10046182,1,4.17E-05,4.57E-140,1.24E-07,1,1,8.18E-08,1,0.644934457,0.11823589,0.004585255,0.149520402,1,0.190458081,0.117354379,1,0.067798228,1,1,1,0.041524826,1,1,1,4.37E-08,1,1,0.206451681,0.00662076,6.17E-40,1,0.588686707,2.52E-11,1,0.27166686,0.738172857,0.010667255,0.593763369,0.626932658
PD-Lambda-5,1,0.52545193,1,1,1,1,1,1,1,1,0.633684096,1,0.054244219,7.16E-05,1,1,0.525664127,1,1,0.408348863,1,1,1,1,1,1,1,1,1,0.000401011,1,1,1,1,0.000106707,1,1,1,1,0.408813599,1,1,1,1,0.647524853,1,1,1,1,1,1,4.57E-140,0.631060637,0.003021881,1,1,0.003033904,1,1,1,0.010133751,0.001433108,1,0.638423005,1,1,0.418673988,1,1,1,1,1,1,0.341193019,2.96E-05,1,1,1,0.090488656,0.122607718,1,0.631706948,0.000578109,1,1,1,0.415672915,1,1
PD-T4-5,0.034011078,7.42E-07,1,0.135523395,0.010929811,1,1,0.076295768,1,1,0.022956264,0.076295768,4.11E-08,3.00E-21,1,0.263949699,7.62E-07,1,1,0.000654499,1,1,1,1,0.033603573,0.627212643,1,1,1,1.00E-12,0.010499665,0.052381623,1,0.641614455,3.46E-15,1,1,1,0.400812427,0.000417307,1,1,1,0.273645452,0.000957825,1,1,0.035409057,1,1,0.287290641,1.24E-07,0.003021881,4.07E-16,1,1,3.09E-237,1,0.176159803,0.278654034,1.49E-21,9.34E-13,0.278654034,0.001358975,0.015480869,1,0.087838266,1,1,1,0.014993597,1,1,0.173305261,1.24E-18,1,1,0.531967422,1.65E-14,1.51E-07,1,0.003057979,2.54E-130,1,0.052381623,0.023584391,0.000196552,0.408107572,0.261768947
PD-T7-2,1,1,1,1,1,1,1,1,1,1,1,1,0.007674888,0.315319364,1,0.039334709,1,1,1,1,1,1,1,1,1,1,1,1,1,0.619463047,1,1,1,1,0.620191436,1,1,1,1,1,1,1,1,1,1,1,1,1.19E-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.09430177,1,1,1,0.013597305,1,0.090730644,1,1,1,0.627287519,1,1,1,0.595668897,1,1,1,1,1,1,1,1,1,1
PD-T7-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.080831108,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PD-T7-5,0.034254659,8.58E-06,1,0.136730584,0.045245218,1,1,0.076629867,1,1,0.222005643,0.076629867,3.83E-07,2.05E-21,1,0.264546156,4.63E-07,1,1,0.005257081,1,1,1,1,0.033675832,0.62773729,1,1,1,2.26E-11,0.010694246,0.052958515,1,0.642804523,1.25E-15,1,1,1,0.400840903,0.018355137,1,1,1,0.185966222,0.036596888,1,1,0.035923699,1,1,0.289675096,8.18E-08,0.003033904,3.09E-237,1,1,2.96E-16,1,0.177019115,0.172039946,5.18E-21,7.71E-14,0.172039946,0.001363611,0.015699855,1,0.088773587,1,1,1,0.015015903,1,1,0.173737555,6.63E-18,1,0.470239921,0.369966494,7.12E-16,9.29E-08,1,0.003097826,5.32E-121,1,0.052958515,0.023959893,0.000123949,0.409080217,0.261892457
PrrC,1,1,1,1,1,1,1,1,1,1,1,1,1,0.376168363,0.00234291,1,1,1,1,0.063894962,1,1,1,1,1,1,1,1,0.001172027,0.328278389,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.017845709,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PsyrTA,1,0.627914837,1,1,1,1,1,1,1,1,1.70E-30,1,0.405419295,1,1,1,0.627939323,1,1,1.58E-28,1,1,1,1,1,1,1,1,1,0.076866554,1,1,1,1,0.583187104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.644934457,1,0.176159803,1,1,0.177019115,1,1,1,0.013941541,0.116129911,0.142113522,1,1,1,1,1,1,1,1,1,1,1,0.033300991,1,1,1,1,0.630710237,1,1,0.073945834,1,1,1,1,1,1
Pycsar,1,1,1,1,1,1,1,1,1,1,1,1,0.640557311,0.082585928,1,1,1,1,1,0.397625505,1,1,1,1,4.17E-06,1,1,1,1,0.768050386,1,1,1,0.0806537,0.257089516,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.11823589,1,0.278654034,1,1,0.172039946,0.017845709,1,1,0.206283803,0.110298384,1,1,1,1,1,1,1,1,1,1,1,1,0.583553045,1,1,1,0.001205252,1,1,1,0.113096727,1,1,1,1,0.097089843,1
RM_I,8.47E-06,1.23E-07,1,0.007801012,0.034537862,0.007745098,0.508957656,0.089936289,1,1,1.43E-06,0.004889345,0.00084941,0.215266293,0.456431992,0.428786303,1.49E-17,1,1,0.064573823,1,0.024567652,1,1,0.000203426,0.28394269,0.508957656,0.262706239,1,1.11E-06,4.16E-06,1.27E-07,1,0.01491791,1.75E-18,1,0.000100704,0.183862379,0.006277003,1.49E-07,0.141278013,0.049011129,0.141278013,0.084453762,7.03E-11,1,0.196271447,0.580482538,0.55641079,1,0.508957656,0.004585255,0.010133751,1.49E-21,1,1,5.18E-21,1,0.013941541,0.206283803,7.54E-47,1.04E-13,0.206283803,0.001808776,0.017081561,0.011305681,3.62E-10,1,0.001219562,0.650437435,0.081405247,0.183862379,0.250714944,1.63E-06,2.23E-08,1,1,0.043725328,9.15E-23,0.852341324,0.55641079,0.001603967,1.46E-19,1,0.117509471,1.41E-07,4.54E-10,0.135879058,0.04935708
RM_II,0.466898709,3.91E-08,1,0.010314815,0.094490131,1,1,0.271033715,0.28519152,1,0.256409496,0.182107478,1.47E-05,1.68E-16,1,0.170893978,0.000216231,0.108034944,1,0.609014338,1,0.621336238,1,1,0.459195703,2.97E-06,1,1,1,5.51E-50,0.002918329,0.022084779,0.157598243,0.403245807,1.78E-11,1,0.045171769,1,0.410997889,0.091382013,1,1,0.329824865,0.022321792,0.01316364,1,1,0.015126558,1,1,1,0.149520402,0.001433108,9.34E-13,1,1,7.71E-14,1,0.116129911,0.110298384,1.04E-13,4.26E-19,0.518198594,0.043295199,0.129088701,1,0.272025594,1,1,0.201346777,1,1,1,0.524276238,3.77E-11,1,0.524509428,0.261091753,0.005422397,0.007739912,1,2.39E-07,1.64E-08,1,0.022084779,0.820071729,3.89E-05,0.03820215,0.063172953
RM_IIG,1,0.000285789,1,1,1,1,1,1,1,1,0.338287472,0.180010922,1,0.157962292,1,1,1,1,1,0.397625505,1,1,1.37E-05,1,1,1,1,1,1,0.366667916,1,1,1,1,0.076201764,1,1,1,0.086164674,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.278654034,1,1,0.172039946,1,0.142113522,1,0.206283803,0.518198594,1,1,1,1,0.448404597,1,1,1,1,1,1,1,0.26837295,1,1,1,0.050404014,1,0.023724755,1,0.113096727,1,1,1,1,1,1
RM_III,1.88E-11,0.072171193,0.091153092,1,0.629962501,1,1,0.468460768,0.166109269,1,0.643650065,0.468460768,0.037140657,0.116461561,1,4.13E-05,0.124716224,1,1,0.675341922,1,0.158093728,1,1,0.041990455,1,1,1,1,0.061537085,1,1,1,2.12E-07,3.17E-05,1,0.616575899,1,0.249431057,1,0.001828015,1,1,1,0.66503125,1,0.141832379,0.561338915,1,1,1,0.190458081,0.638423005,0.001358975,1,1,0.001363611,1,1,1,0.001808776,0.043295199,1,0.651603956,1,1,0.269023956,1,1,1,3.91E-06,1,1,0.374331274,0.539733867,0.009509542,1,0.436964459,0.723551525,0.081151032,1,6.98E-15,0.000274444,1,1,0.06043265,0.268601383,1,1
RM_IV,1,0.272828738,1,1,1,1,1,1,0.117925374,1,1,0.353734268,0.120283107,0.125896362,1,0.237356559,0.273154775,1,1,0.631129338,1,1,1,1,1,1,1,1,1,0.685469968,1,1,1,1,0.0013094,1,0.140516097,1,0.17979047,0.632496371,1,1,1,1,0.629508059,1,1,2.26E-10,1,1,1,0.117354379,1,0.015480869,0.09430177,1,0.015699855,1,1,1,0.017081561,0.129088701,1,1,1,1,1,1,1,1,0.000445258,1,1,0.276692394,8.83E-10,1,1,1,0.031030051,0.729249055,1,1,0.004595221,1,4.96E-29,1,0.640295295,1,0.002126561
Retron_II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.010375706,1,0.051538077,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.011305681,1,1,1,1,1,1,1,1,1,1,1,0.006496226,1,1,1,1,0.000662374,1,1,1,1,1,1,1,1,1,1,0.025121067
Retron_III,0.629710131,2.23E-31,1,0.340287064,0.408292426,1,1,1,0.024271133,1,0.696131658,0.574364407,0.185344552,0.275853352,1,0.411504455,0.035999329,1,1,0.282886069,1,1,1,1,0.278824083,1.48E-08,1,1,1,0.019033025,0.408161426,0.628798386,1,1,8.68E-07,1,2.53E-17,1,1,0.729496216,1,1,1,0.628802173,0.726331835,1,1,0.630912361,1,1,1,0.067798228,0.418673988,0.087838266,1,1,0.088773587,1,1,1,3.62E-10,0.272025594,0.448404597,0.269023956,1,1,0.187222558,1,1,1,1,1,1,1,0.290856699,1,1,1,1.05E-05,0.137014094,1,0.687617951,1.09E-05,1,0.628798386,0.636206065,0.18392101,1,1
Retron_IV,1,1,1,0.024268678,1,1,1,1,1,1,1,1,1,0.2698913,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.214459386,1,0.002082858,1,1,1,1,1,1,1,1
Retron_I_A,1,1,1,1,1,1,1,1,1,1,1,0.058554684,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.618234127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.013597305,1,1,1,1,1,0.001219562,1,1,1,1,1,1,1,1,1,0.084944059,1,1,1,0.621540466,1,1,1,0.007285399,1,1,1,1,1,1,1,1,1,1
Retron_I_C,6.61E-05,1,1,1,1,1,1,1,1,1,1,1,0.346426518,0.622583696,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.619463047,1,1,1,1,0.620191436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00682037,1,1,1,1,1,1,1,1,1,0.650437435,0.201346777,1,1,1,1,1,1,1,1,1,1,1,1,0.627287519,1,1,1,0.218078528,1,1,1,0.224306171,1,1,1,1,0.000490883,1
Retron_VI,0.000178474,0.44600576,1,1,1,1,0.043404722,1,1,1,1,0.008391451,1,3.15E-05,1,1,0.269749962,1,1,0.629790761,1,1,1,1,1,1,1,1,1,0.021047785,1,1,1,1,0.111989199,1,1,1,1,0.630673419,1,1,1,1,0.62904951,1,1,1.70E-05,1,1,0.043404722,0.041524826,1,0.014993597,0.090730644,1,0.015015903,1,1,1,0.081405247,1,1,3.91E-06,0.000445258,1,1,1,0.084944059,1,1,1,1,1,0.352977692,1,0.07912103,0.316833383,0.380327484,0.727039819,1,0.568384746,0.004302066,1,1,1,0.636683752,1,0.219242296
Retron_XI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.183862379,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.005074153
Retron_XII,1,1,1,1,1,1,1,1,1,1,1,1,0.246846848,0.544593372,1,1,1,1,1,1,1,0.011665833,0.010375706,1,0.001203663,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.250714944,1,1,1,1,0.006496226,1,1,1,1,1,1,1,1,1,1,1,1,0.453149267,1,1,1,1,1,1,1,1,1,1
RloC,0.233587868,1,1,1,1,1,1,1,0.05896249,1,1,0.190572712,0.64834529,0.179842674,1,0.122987885,0.627793914,1,1,1,1,1,1,1,1,1,1,1,1,0.074249632,1,1,1,1,0.580861879,1,1,0.006373138,0.091527544,1.18E-06,1,1,1,1,1,1,1,1,0.025254767,1,1,1,0.341193019,0.173305261,1,1,0.173737555,1,1,1,1.63E-06,0.524276238,1,0.374331274,0.276692394,1,1,1,1,1,1,1,1,1,0.031426891,1,1,0.174833284,0.116822223,1,1,1,0.118793069,1,1,0.036208452,3.16E-05,1,1
RosmerTA,0.001777188,1.26E-06,1,0.000821675,0.000154596,0.34392769,1,0.005912672,0.396247813,1,0.006727982,0.172176078,2.12E-10,2.51E-26,0.396976018,1,3.62E-12,1,1,0.568825947,0.396976018,0.393000501,0.634580741,1,0.064562612,0.256049599,1,0.223433789,1,4.29E-15,0.000149555,0.031836783,1,0.165134352,0.275142083,0.223433789,4.04E-05,1,0.510952424,0.002797144,1,1,1,0.002663357,0.012105677,1,0.634580741,0.423522425,1,1,1,4.37E-08,2.96E-05,1.24E-18,0.627287519,0.080831108,6.63E-18,1,0.033300991,0.583553045,2.23E-08,3.77E-11,0.26837295,0.539733867,8.83E-10,1,0.290856699,1,0.621540466,0.627287519,0.352977692,1,1,0.031426891,1.65E-42,1,1,0.814166988,1.27E-10,0.000115086,1,0.052456857,4.80E-33,1,4.90E-36,1,1.48E-07,1,0.767518108
Rst_3HP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.009509542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rst_HelicaseDUF2290,1,0.23035256,1,1,1,1,1,1,1,1,0.110032045,0.054486634,1,0.617198771,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.201268407,1,1,1,1,0.61822647,1,1,1,1,0.137030151,1,1,1,1,1,1,0.013468683,1,1,0.003382991,1,1,1,1,1,1,0.470239921,1,1,1,1,0.524509428,1,1,1,1,1,1,1,1,0.07912103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SEFIR,1,0.634818823,1,1,1,1,1,1,0.071738495,1,1,0.228165454,1,0.218182242,0.023224031,0.148497715,1,1,1,1,1,1,0.060757597,1.50E-05,1,1,1,1,1,0.183519564,1,1,1,1,0.444211113,1,0.324862683,1,1,0.494013182,1,1,1,1,0.128069738,1,1,0.04452165,1,1,0.027042794,0.206451681,1,0.531967422,1,1,0.369966494,1,1,1,0.043725328,0.261091753,1,0.436964459,1,0.000662374,1,1,1,1,0.316833383,1,1,0.174833284,0.814166988,1,1,1,1,0.146540589,1,1,0.050174273,1,1,1,1,0.124777324,1
Septu,0.815879952,0.713246774,1,0.000103184,0.014829493,1,1,9.85E-05,0.624278089,1,0.58392576,0.794503733,5.78E-07,1.73E-14,1,0.009036483,4.89E-60,1,1,0.1347119,1,1,1,1,0.146115157,0.397897828,1,1,0.165590726,2.38E-07,6.71E-10,0.023523281,1,0.678389489,5.55E-21,0.165590726,0.030841622,1,0.418979113,0.004739224,1,1,1,0.000154001,0.009433899,1,0.619367793,0.243747497,1,1,1,0.00662076,0.090488656,1.65E-14,0.595668897,1,7.12E-16,1,1,0.001205252,9.15E-23,0.005422397,0.050404014,0.723551525,0.031030051,1,1.05E-05,0.214459386,0.007285399,0.218078528,0.380327484,1,0.453149267,0.116822223,1.27E-10,1,1,1,0.341404873,0.025238324,0.382965959,0.02488119,1.83E-23,1,0.023523281,0.006585072,2.90E-05,0.448919594,0.727211649
Shedu,0.010076265,0.016364681,0.200160473,0.276079513,0.183526705,1,1,0.407059301,1,1,0.377147251,1,0.006903565,2.00E-09,1,1,0.016432689,1,1,0.190536705,1,1,1,1,1,1,0.144719216,1,1,4.75E-06,0.181555755,0.420139004,1,1,9.50E-06,1,0.728614464,1,1,0.000468313,1,1,0.144719216,1,0.2710248,1,1,0.12245508,1,1,1,6.17E-40,0.122607718,1.51E-07,1,1,9.29E-08,1,0.630710237,1,0.852341324,0.007739912,1,0.081151032,0.729249055,1,0.137014094,1,1,1,0.727039819,1,1,1,0.000115086,1,1,0.146540589,0.025238324,0.00103212,1,0.124301684,2.64E-42,1,0.420139004,0.465840315,0.040353984,1,0.212670906
ShosTA,1,1,1,0.047954501,1,1,1,1,1,1,1,1,1,0.466986751,1,1,1,1,1,1,1,1,0.008308674,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.079926153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.55641079,1,0.023724755,1,1,1,1,0.002082858,1,1,1,1,1,1,1,1,1,1,0.382965959,1,1,1,1,1,1,1,1,1,1
SoFic,1,0.118099862,1,0.556986125,1,1,1,1,0.151392624,1,0.634664915,0.435104555,0.277491668,0.029649884,1,0.298470619,0.118127684,1,1,0.40852288,1,1,1,1,0.504039372,1,1,1,1,8.85E-07,1,0.486518403,1,0.214935446,0.864433471,1,0.579492249,1,1,0.409313241,1,1,1,1,0.397935781,1,1,1,1,1,1,0.588686707,0.631706948,0.003057979,1,1,0.003097826,1,1,1,0.001603967,2.39E-07,1,6.98E-15,1,1,0.687617951,1,1,1,0.568384746,1,1,1,0.052456857,1,1,1,0.02488119,0.124301684,1,1,0.000596137,1,1,1,0.417403838,1,1
SspBCDE,0.009624433,1.15E-08,1,0.00678499,0.001967137,1,1,0.033093316,0.625202059,1,0.000389222,0.033093316,2.44E-09,1.01E-32,1,0.175224242,1.18E-08,1,1,5.17E-05,1,0.622397709,0.620410887,1,0.015217421,0.397893187,1,1,1,5.50E-16,0.001922465,0.014438928,1,0.410474173,1.98E-100,1,0.004483689,1,0.258495581,3.46E-05,1,1,1,0.014515562,0.000123424,1,0.620410887,0.00985768,1,1,0.349947782,2.52E-11,0.000578109,2.54E-130,1,1,5.32E-121,1,0.073945834,0.113096727,1.46E-19,1.64E-08,0.113096727,0.000274444,0.004595221,1,1.09E-05,1,1,0.224306171,0.004302066,1,1,0.118793069,4.80E-33,1,1,0.050174273,1.83E-23,2.64E-42,1,0.000596137,1.07E-25,1,0.014438928,0.00678499,1.70E-05,0.265447547,0.728873304
Thoeris_I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.96E-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thoeris_II,1,0.409775691,1,1,1,0.02482946,1,1,1,1,1,0.282906696,0.280604249,0.004032098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.009476221,1,1,1,1,0.006249427,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.27166686,1,0.052381623,1,1,0.052958515,1,1,1,0.117509471,0.022084779,1,1,4.96E-29,1,0.628798386,1,1,1,1,1,1,1,4.90E-36,1,1,1,0.023523281,0.420139004,1,1,0.014438928,1,1,1,1,1,1
Zorya_TypeI,1,0.711799871,1,1,1,1,1,1,1,1,1,1,0.117049769,0.240140899,1,1,0.268214123,1,1,8.71E-06,1,1,1,1,1,1,1,1,1,0.833507445,0.492354133,1,1,1,0.417516568,1,1,1,1,1.08E-05,1,1,1,1,1,1,1,1,1,1,1,0.738172857,1,0.023584391,1,1,0.023959893,1,1,1,1.41E-07,0.820071729,1,0.06043265,1,1,0.636206065,1,1,1,1,1,1,0.036208452,1,1,1,1,0.006585072,0.465840315,1,1,0.00678499,1,1,1,0.000175335,1,1
dCTP deaminase,0.629187024,0.03543952,1,0.634360247,0.408210251,1,1,0.564976376,0.212780123,1,0.422407392,1,2.59E-11,5.65E-07,1,1,0.597091249,1,1,0.278838597,1,1,1,1,0.269034224,1,1,1,1,4.47E-06,2.86E-26,1,1,1,1.32E-06,1,0.639340504,1,1,1.90E-35,1,1,1,1,0.272486975,1,1,0.630023011,1,1,1,0.010667255,0.415672915,0.000196552,1,1,0.000123949,1,1,1,4.54E-10,3.89E-05,1,0.268601383,0.640295295,1,0.18392101,1,1,1,0.636683752,1,1,3.16E-05,1.48E-07,1,1,1,2.90E-05,0.040353984,1,0.417403838,1.70E-05,1,1,0.000175335,0.181376289,1,1
dGTPase,1.01E-06,1,1,1,1,1,1,1,1,1,1,1,1,0.108799503,1,1,0.147570343,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.060240132,0.171989053,1,1,1,1,0.320031778,1,1,1,1,0.048172069,1,1,1,1,1,1,0.593763369,1,0.408107572,1,1,0.409080217,1,1,0.097089843,0.135879058,0.03820215,1,1,1,1,1,1,1,0.000490883,1,1,1,1,1,1,1,0.124777324,0.448919594,1,1,1,0.265447547,1,1,1,1,1,1
pAgo_LongB,1,1,1,0.213224625,1,1,0.017650029,1,1,1,1,1,0.094683127,0.766660252,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.10209178,1,1,1,1,0.111940861,1,1,1,1,1,1,0.010123215,1,1,1,1,1,0.196955709,1,1,1,0.626932658,1,0.261768947,1,1,0.261892457,1,1,1,0.04935708,0.063172953,1,1,0.002126561,0.025121067,1,1,1,1,0.219242296,0.005074153,1,1,0.767518108,1,1,1,0.727211649,0.212670906,1,1,0.728873304,1,1,1,1,1,1
