,AbiD,AbiH,AbiJ,AbiL,AbiU,AbiZ,Avs_II,Avs_III,Avs_IV,Avs_V,BREX_I,CBASS_I,CBASS_II,CRISPR-Cas IF,CapRel,DRT_2,DRT_3,DRT_8,DRT_9,DarTG,Dazbog,Detocs,Dnd_ABCDE,Dnd_ABCDEFGH,Druantia_III,Dsr_II,Eleos,FS_GIY_YIG,GAPS4,Gabija,Gao_Her_DUF,Gao_Iet,Gao_Mza,Gao_Ppl,Gao_Qat,Gao_RL,Hachiman,Hna,Kiwa,Lamassu-Cap4_nuclease,Lamassu-Hydrolase_Protease,Lamassu-Mrr,Menshen,Mokosh_Type_I_C,NLR_like_bNACHT01,Old_exonuclease,Olokun,PARIS_I,PARIS_II,PARIS_II_merge,PD-Lambda-1,PD-Lambda-2,PD-Lambda-5,PD-T4-5,PD-T7-2,PD-T7-3,PD-T7-5,PrrC,PsyrTA,Pycsar,RM_I,RM_II,RM_IIG,RM_III,RM_IV,Retron_II,Retron_III,Retron_IV,Retron_I_A,Retron_I_C,Retron_VI,Retron_XI,Retron_XII,RloC,RosmerTA,Rst_3HP,Rst_HelicaseDUF2290,SEFIR,Septu,Shedu,ShosTA,SoFic,SspBCDE,Thoeris_I,Thoeris_II,Zorya_TypeI,dCTP deaminase,dGTPase,pAgo_LongB
Dazbog,1,1,1,1,1,1,1,1,1,1,0.052368089,1,1,0.376168363,1,1,1,1,1,0.063894962,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.060560554,1,1,0.033147236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.396976018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Detocs,1,0.304123778,0.011665833,1,1,1,1,1,1,1,1,1,0.08881527,0.393484144,1,1,1,1,1,1,1,1,0.018603512,1,0.090872058,1,1,1,1,0.625730115,1,1,1,1,0.635123238,1,1,1,1,1,1,1,1,1,0.170962122,1,1,1,1,1,1,0.010779937,1,1,1,1,1,1,1,1,0.024567652,0.621336238,1,0.158093728,1,1,1,1,1,1,1,1,0.011665833,1,0.393000501,1,1,1,1,1,1,1,0.622397709,1,1,1,1,1,1
Dnd_ABCDE,1,1,1,0.093632667,1,1,1,1,1,1,1,1,0.364706804,1,1,1,1,1,1,1,1,0.018603512,1,1,0.081192288,1,1,1,1,1,1,1,1,1,0.623819981,1,0.099320961,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.345355511,1,1,1,1,1,1,1,1,1,1,1.37E-05,1,1,0.010375706,1,1,1,1,1,1,0.010375706,1,0.634580741,1,1,0.060757597,1,1,0.008308674,1,0.620410887,1,1,1,1,1,1
Dnd_ABCDEFGH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.50E-05,1,1,1,1,1,1,1,1,1,1,1
Druantia_III,1,0.414016358,1,1,1,1,1,1,1,1,1,1,0.729777062,0.20713355,1,0.00130524,0.220449396,1,1,1,1,0.090872058,0.081192288,1,1,1,0.036358474,1,1,0.064115308,0.442314368,1,1,0.000421402,0.004092262,1,1,1,1,0.601606667,1,1,1,1,1,1,1,1,1,1,1,0.161603716,1,0.033603573,1,1,0.033675832,1,1,4.17E-06,0.000203426,0.459195703,1,0.041990455,1,0.051538077,0.278824083,1,1,1,1,1,0.001203663,1,0.064562612,1,1,1,0.146115157,1,1,0.504039372,0.015217421,1,1,1,0.269034224,1,1
Dsr_II,1,1,1,1,1,1,1,1,1,1,1,1,1,0.254469373,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.064186182,1,1,1,1,0.412172796,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.627212643,1,1,0.62773729,1,1,1,0.28394269,2.97E-06,1,1,1,1,1.48E-08,1,1,1,1,1,1,1,0.256049599,1,1,1,0.397897828,1,1,1,0.397893187,1,1,1,1,1,1
Eleos,1,1,0.004551358,1,1,1,1,1,1,1,1,1,1,0.423361204,1,1,1,1,1,1,1,1,1,1,0.036358474,1,1,1,1,0.371390775,1,1,1,1,1,1,1,1,1,1,1,1,1,0.035032362,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.508957656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.144719216,1,1,1,1,1,1,1,1,1
FS_GIY_YIG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.007990607,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.262706239,1,1,1,1,1,1,1,1,1,1,1,1,1,0.223433789,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GAPS4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001172027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001172027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.165590726,1,1,1,1,1,1,1,1,1,1
Gabija,0.820505179,0.000365312,0.484838509,0.000293566,0.010286883,1,0.371390775,0.008976973,0.630287305,1,0.112495918,0.443457462,0.483518984,7.56E-49,1,0.518669031,4.83E-08,1,0.124201495,0.524245567,1,0.625730115,1,1,0.064115308,0.064186182,0.371390775,1,1,1.21E-23,0.001281145,0.009476221,1,0.257348534,1.98E-08,1,0.216632087,1,0.123019754,0.433788063,1,1,1,0.000110957,0.013715159,0.051882461,1,0.179222297,1,1,1,7.47E-07,0.000401011,1.00E-12,0.619463047,1,2.26E-11,0.328278389,0.076866554,0.768050386,1.11E-06,5.51E-50,0.366667916,0.061537085,0.685469968,1,0.019033025,1,1,0.619463047,0.021047785,1,1,0.074249632,4.29E-15,1,0.201268407,0.183519564,2.38E-07,4.75E-06,1,8.85E-07,5.50E-16,1,0.009476221,0.833507445,4.47E-06,1,0.10209178
